 2001 04 09  905·50
 2001 04 10  205·63
 2001 04 11  145.60
 2001 04 12  255·61
 2001 04 16  775·70
 2001 04 17  945·65
 2001 04 18  475.65
 2001 04 19  355·77
 2001 04 20  865·79
 2001 04 23  805.73
 2001 04 24  35·75
 2001 04 25  275·78
 2001 04 26  35.71
 2001 04 27  975.81
 2001 04 30  355·78
 2001 05 01  815.75
 2001 05 02  425.71
 2001 05 03  905.64
 2001 05 04  165.65
 2001 05 07  55.68
 2001 05 08  415.72
 2001 05 09  285·67
 2001 05 10  475·75
 2001 05 11  305.88
 2001 05 14  615·85
 2001 05 15  45.89
 2001 05 16  545·86
 2001 05 17  135.80
 2001 05 18  925.76
 2001 05 21  395·75
 2001 05 22  885.78
 2001 05 23  365·79
 2001 05 24  475·87
 2001 05 25  765.86
 2001 05 29  225.86
 2001 05 30  45.86
 2001 05 31  625.78
 2001 06 01  845.71
 2001 06 04  595·69
 2001 06 05  515·66
 2001 06 06  15·65
 2001 06 07  585·72
 2001 06 08  235·73
 2001 06 11  315.69
 2001 06 12  525·65
 2001 06 13  165·66
 2001 06 14  645·65
 2001 06 15  285.68
 2001 06 18  285·70
 2001 06 19  35·69
 2001 06 20  595·67
 2001 06 21  475.64
 2001 06 22  675.58
 2001 06 25  885·59
 2001 06 26  75·65
 2001 06 27  215.62
 2001 06 28  315.68
 2001 06 29  655.75
 2001 07 02  345.70
 2001 07 03  65·73
 2001 07 05  85·76
 2001 07 06  535·75
 2001 07 09  905·70
 2001 07 10  835.68
 2001 07 11  125·69
 2001 07 12  965.65
 2001 07 13  515.64
 2001 07 16  605.59
 2001 07 17  805.59
 2001 07 18  645.52
 2001 07 19  175·53
 2001 07 20  685.54
 2001 07 23  755.53
 2001 07 24  505·52
 2001 07 25  135.58
 2001 07 26  635·59
 2001 07 27  855·55
 2001 07 30  755.53
 2001 07 31  905.51
 2001 08 01  275.53
 2001 08 02  235.57
 2001 08 03  815.59
 2001 08 06  235·59
 2001 08 07  675·60
 2001 08 08  265.52
 2001 08 09  375.54
 2001 08 10  135.52
 2001 08 13  145·52
 2001 08 14  585.51
 2001 08 15  405·52
 2001 08 16  845·48
 2001 08 17  265·43
 2001 08 20  75·46
 2001 08 21  65.44
 2001 08 22  885·44
 2001 08 23  835·41
 2001 08 24  855·45
 2001 08 27  815.47
 2001 08 28  05.41
 2001 08 29  935·36
 2001 08 30  315.37
 2001 08 31  335·39
 2001 09 04  205.50
 2001 09 05  875·48
 2001 09 06  65.41
 2001 09 07  575.39
 2001 09 10  745.43
 2001 09 13  215·39
 2001 09 14  05·35
 2001 09 17  725.41
 2001 09 18  115.55
 2001 09 19  785·56
 2001 09 20  255.62
 2001 09 21  225·59
 2001 09 24  85·58
 2001 09 25  635.58
 2001 09 26  195·50
 2001 09 27  775·45
 2001 09 28  645.42
 2001 10 01  95.38
 2001 10 02  445·34
 2001 10 03  295·32
 2001 10 04  55.31
 2001 10 05  735·31
 2001 10 09  895·39
 2001 10 10  995·36
 2001 10 11  825.41
 2001 10 12  355·42
 2001 10 15  675·38
 2001 10 16  305.35
 2001 10 17  705·32
 2001 10 18  35.32
 2001 10 19  155.36
 2001 10 22  925.36
 2001 10 23  695·38
 2001 10 24  85.32
 2001 10 25  965.28
 2001 10 26  795·27
 2001 10 29  55.25
 2001 10 30  65.22
 2001 10 31  994.89
 2001 11 01  104.79
 2001 11 02  284.96
 2001 11 05  804·86
 2001 11 06  364·86
 2001 11 07  294·79
 2001 11 08  134.87
 2001 11 09  364·88
 2001 11 13  444·92
 2001 11 14  55.02
 2001 11 15  615·22
 2001 11 16  65.30
 2001 11 19  885.22
 2001 11 20  335·30
 2001 11 21  975.35
 2001 11 23  465.39
 2001 11 26  555.39
 2001 11 27  315.37
 2001 11 28  725·36
 2001 11 29  395·24
 2001 11 30  575·27
 2001 12 03  445·26
 2001 12 04  615·22
 2001 12 05  895·35
 2001 12 06  325.47
 2001 12 07  405.60
 2001 12 10  645·58
 2001 12 11  315·55
 2001 12 12  445.47
 2001 12 13  155·53
 2001 12 14  75.59
 2001 12 17  185.61
 2001 12 18  815.52
 2001 12 19  875.45
 2001 12 20  405·43
 2001 12 21  355.45
 2001 12 24  555.49
 2001 12 26  05.52
 2001 12 27  395·49
 2001 12 28  875.54
 2001 12 31  35·48
 2002 01 02 235·56
 2002 01 03 45.54
 2002 01 04 55·57
 2002 01 07 905·49
 2002 01 08 515·51
 2002 01 09 605·51
 2002 01 10 475.42
 2002 01 11 35·37
 2002 01 14 25·38
 2002 01 15 575·34
 2002 01 16 945·36
 2002 01 17 555·41
 2002 01 18 225.36
 2002 01 22 725·39
 2002 01 23 535.48
 2002 01 24 835.47
 2002 01 25 785·47
 2002 01 28 55·47
 2002 01 29 555.40
 2002 01 30 515·41
 2002 01 31 655.44
 2002 02 01 805.40
 2002 02 04 585.35
